,sno_id,host_id,frel
0,ENSG00000200480,ENSG00000225746,0.00170140365802
1,ENSG00000200959,ENSG00000281398,0.792108612643
2,ENSG00000201457,ENSG00000090621,0.00803043110735
3,ENSG00000201512,ENSG00000196756,0.00547368421053
4,ENSG00000202048,ENSG00000225746,0.179110738255
5,ENSG00000206633,ENSG00000115758,0.0245730945439
6,ENSG00000220988,ENSG00000167747,0.00670859538784
7,ENSG00000221241,ENSG00000167747,0.000843525938423
8,ENSG00000225091,ENSG00000196756,0.00172191132157
9,ENSG00000272344,ENSG00000225746,0.000841750841751
10,ENSG00000274640,ENSG00000224078,0.00126742712294
